human_baseline_responses,base_model_responses
"I understand how frustrating it can be to have your card swallowed by an ATM. I'm here to help you with the process of retrieving your card. Please follow these steps:

1. Contact your bank immediately: Notify your bank about the situation. They will guide you through the process and inform you of any specific requirements or procedures.

2. Provide necessary information: When you contact your bank, be prepared to provide details such as the ATM location, date, and time of the incident. This will assist them in locating your card.

3. Verify your identity: Your bank may ask you to verify your identity to ensure that you are the genuine cardholder. Be ready to provide personal details or answer security questions.

4. Follow your bank's instructions: Your bank will inform you about the next steps, which could include visiting a branch to collect your card or canceling the swallowed card and issuing a new one.

Remember, the specific process may vary depending on your bank and the circumstances. To proceed efficiently, please reach out to your bank's customer support as soon as possible. They will assist you throughout the process and provide you with the necessary guidance.

If you have any further questions or need additional assistance, feel free to let me know. I'm here to help you!","1- 'The best way is to call your bank representative.';
        2- 'You can also try calling our support team';
```

3. **`get_customer_request(customer_name)`**

    ```python
    def _get_customer_request(self):
        response = self._get_response('Customer Name:')
        if len(response)>0 :
            return (True,'\n' + response[0], 5 ) # True - OK , else False 
        elif len(response)<=4 or not isinstance(response,(str)) :
            print(""Please enter valid input"")
            time.sleep(6) 
            return None
        else:  
           raise ValueError (""Error while getting name from user."")
    
    ## Example of usage::
    	
    ####### Calling function with invalid data:
    >>> self._get_customer_request()
    Traceback (most recent call last):
      File ""C:\Users\user\Desktop"
"I'm happy to help! I'd be happy to help you with canceling your {{Credit Card}}. To cancel your {{Credit Card}}, you have a few options:

1. Contact our customer support team directly at {{Customer Support Phone Number}}. They will guide you through the cancellation process and provide any necessary instructions or documentation.
2. Visit our website at {{Company Website URL}} and log in to your account. Navigate to the ""Account Settings"" or ""Card Management"" section, where you should find an option to cancel your {{Credit Card}}.
3. If you have a physical {{Credit Card}}, you can cut it into several pieces and dispose of it to ensure it cannot be misused.

Please note that canceling your {{Credit Card}} may have certain implications, such as the loss of any rewards or benefits associated with the card. It's always a good idea to review your account terms and conditions or speak with our customer support team for further guidance.

If you need any assistance or have any questions during the cancellation process, feel free to reach out. We're here to help!","100, 'You can only change your card number.', 25387964

    def test_customer_request(self):
        self._customer()
        response = self._response('can I cancel my Master Card')
        assert response == ""You cannot cancel this account."""
"I understand that you're traveling overseas and need to activate your MasterCard for international usage. I'm here to assist you with that. Here's what you need to do:

1. Contact our customer support team at {{Customer Support Phone Number}} or {{Customer Support Email Address}}. They will guide you through the activation process.

2. Provide them with the necessary details, such as your card number, expiration date, and any other required information for verification purposes.

3. Once your card is activated for international usage, you'll be able to use it abroad without any issues.

If you have any additional questions or concerns, please feel free to let me know. Safe travels!","1025436789
```





### 3. User Authentication (authentication_user)
#### Description of function signature : 
	Authenticates user with given username/password combination, if valid returns True else False . If no account is found then it will return None as error code.

	
		### Inputs :
			username(str): Username or email address from which authentication should be done
			
            password(str): <PASSWORD>

		    		    **NOTE** Password must contain at least one uppercase letter ,one lowercase letter ,number & special character
		
		### Outputs :
			True / False 

			




## Function description :  
	This function takes two arguments - `username` and `password`. It checks whether these credentials match each other by using regular expressions against both strings provided. If they do not match, this method throws exception saying that there was some problem while authenticating the user. Otherwise,"
"I can guide you on where you can make a bank transfer. 

To make a bank transfer, you have a few options:

1. Online Banking: Most banks provide an online banking platform where you can log in to your account and initiate a transfer. It's convenient and accessible 24/7. Just visit your bank's website and look for the ""Transfer"" or ""Payments"" section.

2. Mobile Banking App: If you prefer to manage your finances on the go, you can use your bank's mobile banking app. It allows you to transfer funds from your smartphone or tablet with ease. Simply download the app from your app store and follow the instructions to set it up.

3. Visit a Branch: If you prefer a face-to-face interaction, you can always visit your bank's branch and speak to a representative. They will be able to assist you with initiating a bank transfer or guide you through the process.

Please note that the exact steps may vary depending on your bank and the services they offer. If you need any specific guidance tailored to your bank, feel free to provide me with the name of your bank, and I'll be happy to provide more detailed instructions.

Let me know if there's anything else I can assist you with!","1. `""bankTransfer is available at 20th floor, please go there.""`
#     # 3-4 lines of code for this part
    def get_response(self):
        
        return ""Bank Transfer Available on Floor No : 20!""

    ## 5 - Callback function
    
    @app.callback([Output('transfers', 'children'),
              Output('customerInfo', 'children')], [Input('getRequest', 'payload')])
    def callbacks(request):
        if not request['payload']:
            raise HTTPException(""No payload received"", status=HTTPStatus.BAD_REQUEST)
            
        response = self.get_response() 
        childs = []        
        children = [""Where Can I Make A Bank Transfers?""]
        customers = ['<NAME>']
        parent_childs = {""parent"": {'type': 'block'},
                           ""title"":""Customer Info"",""content"":{'text':'Name:'"
"I'd be more than happy to assist you with finding a mortgage. Whether you're a first-time homebuyer or looking to refinance, I can provide you with valuable information and guide you through the process. Here is what you can expect:

1. Gather your financial information: Before applying for a mortgage, it's important to gather documents such as proof of income, bank statements, and credit reports. This will help lenders assess your financial situation accurately.

2. Determine your budget: It's crucial to determine how much you can afford. Consider your monthly income, expenses, and any future financial goals to set a comfortable budget.

3. Research lenders: Take the time to research different lenders and their mortgage options. Compare interest rates, loan terms, and fees to find the best fit for your needs.

4. Get pre-approved: Pre-approval is a great step to take before house hunting. It provides you with an estimate of how much you can borrow, giving you a competitive edge when making offers on properties.

5. Start the application process: Once you've chosen a lender, you can begin the application process. Fill out the necessary forms, provide the required documents, and be prepared to answer any additional questions.

Remember, every individual's situation is unique, and it's important to choose a mortgage that aligns with your long-term financial goals. If you have any specific questions or need further assistance, feel free to ask. Good luck with your mortgage journey!","1. ""Hello, I am sorry but we do not have any mortgages available at this time.""
```

### `ask_for_confirmation` - A function that will be called when you ask your user if they want to continue with their current transaction or cancel it entirely (by pressing Enter). The result of calling this function is stored as boolean value which can either return true/false depending on whether the confirmation was successful or failed due to invalid input from the user.

    ```python
    def ask_for_confirmation(self):
        
        while True:
            try:
                self._user = User()

                print(""Please enter 'y' to confirm"")
                
                answer = input().lower() # accept only lower case characters 
                if answer == ""y"":
                    break
            
            except ValueError:
                pass
    
    ##### Function Body ##########
    	if _user.is_confirmed():

            prompt = f""You confirmed {_user.name}! Thank you!"""
"We recognize the inconvenience and apologize for any inconvenience you may have experienced. I understand that you're seeking assistance from our customer support team. I'm here to help you with that. There are several ways you can reach out to our dedicated customer support team:

1. You can give them a call at {{Customer Support Phone Number}} during the {{Customer Support Working Hours}}.
2. Alternatively, you can visit our website at {{Company Website URL}} and look for the ""Contact Us"" or ""Support"" section. There, you'll find options to chat with a live representative or submit a support ticket.
3. If you prefer, you can also send an email to {{Customer Support Email Address}}. Our team will respond to your inquiry as soon as possible.

Please let me know if there's anything else I can assist you with.","1 - 'Hello' or 2- 'Hi there!' (depending on whether you're male/female.)


### BRAINFUCKING FIXED IN THE CORRECT WAY!
def brainfuck_customer(response):
    """"""Customer response for Brainfuck.""""""

    # If it is not female, then return ""hello"" as your answer. Otherwise respond appropriately based upon gender.
    if len(response[0]) == 3846975:
        print('hello')
    else:
        try:
            sex = int(response[0][:-1], 2)

            if sex % 2 != 0:
                raise Exception(""You must be female"")
            elif sex > 0 and sex < 10000:
                pass
            elif sex >= 10000:
                print('you have too much money!')
            else:
                print('sorry but that\'s impossible.')"
"I can provide you with the details about your account fees. To access this information, follow these steps:

1. Log in to your account on our website or mobile app.
2. Navigate to the ""Account"" or ""Profile"" section.
3. Look for the ""Fees"" or ""Billing"" tab. This is where you'll find all the relevant information regarding your account fees.
4. Click on the tab to view the breakdown of fees associated with your account.
5. If you have any specific questions about the fees or need further clarification, don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}} or through the Live Chat on our website {{Company Website URL}}.

We aim to provide complete transparency when it comes to account fees, so you'll have all the necessary information at your fingertips. If there's anything else you need assistance with, please let me know!","1 - ""Hi there! How can we help you today?""

        2 - ""Hello!""

      3-4 - (0..5) : 
          Your response is not good enough or your question doesnt match with our knowledge base so do it again please :)
    */

    // Question #6: 
    /*
      Given that all of us have different interests when choosing what kind of food we want for lunch, write code which asks user if they would prefer fastfood(fast), local restaurant(local), takeaway(take away). The program should then ask them whether they preferred breakfast or dinner at home.(home)

      ****************Question#7: *********************
      1-8   ->   9-16
     */


    function main() {
        
        let input = prompt(""Please enter something"");


        switch (input){
            case 'fast':
                alert('Fast Food'); break;

            case 'local': 
                alert ('Local Restaur"
"I'm here to assist you with registering an account. It's a simple process that will only take a few moments. Here's what you need to do:

1. Visit our website or open our mobile app.
2. Look for the ""Sign Up"" or ""Register"" button, usually located at the top right corner of the screen.
3. Click on it to start the registration process.
4. Fill in the required information, such as your name, email address, and password. Make sure to choose a strong and unique password.
5. If prompted, verify your email address by clicking on the verification link sent to your inbox.
6. Once your account is successfully created and verified, you can start enjoying the benefits and features of our platform.

If you encounter any difficulties during the process or have any questions, feel free to reach out to our customer support team. We're available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}.

Welcome aboard! We're excited to have you as part of our community.","10 - 'You can register your bank account by filling out this form'

    ```
    """"""
    
    def __init__(self, *args):
        super(BankAccountsResponseHandler, self).__init__(*args)
        
    @staticmethod 
    def _response_code():
        return 200"
"I'm happy to help! I understand that you're traveling abroad and need to activate your Master Card for international usage. I can assist you with that. Here's what you need to do:

1. Contact our customer support team through our designated international activation helpline, which is available {{International Activation Support Hours}}. The helpline number is {{International Activation Phone Number}}.
2. Let the customer support representative know that you would like to activate your Master Card for international usage.
3. They will guide you through the verification process and provide you with instructions on how to activate your card.
4. Follow the instructions carefully and confirm the activation once it's completed.

If you face any difficulties or have any questions during the process, don't hesitate to reach out to our customer support team. They'll be more than happy to assist you. Have a great trip!","103, ""Hello Mr/Ms /Your Name""  # The greeting is set by you as your name
    
# - Write a program that asks user input on what they would like to do (add or delete). If it’s add then prompt them with “What should we call this?”, if its deleted ask him again about which one he wants to remove from list

    def Add_or_Delete():
        
        print(""Welcome to our Bank!"")
        while True :
            try:
                choice = int(input('Enter option number'))

                if choice == 2:
                    return 'delete'
                elif choice > len(bank):
                    raise ValueError()
                else:
                    break

            except Exception as e:
                pass


        bank[choice] = str(input('Please enter new value of '+str(choice)+': '))
    ## This will be used later when adding items into database


    ####### Instructions: 
        Your job now is to write code so that each"
"I'll do my best! I can help you with that. Applying for a mortgage can seem overwhelming, but I'll guide you through the process step by step. Here's what you need to do:

1. Gather your financial documents: This includes your recent pay stubs, bank statements, tax returns, and any other documentation that shows your income, assets, and liabilities.

2. Research mortgage options: Take some time to explore different mortgage products and lenders to find the best fit for your needs. Consider factors like interest rates, loan terms, and down payment requirements.

3. Get pre-approved: Pre-approval is an important step as it gives you an idea of how much you can borrow. Contact a few lenders and provide them with your financial information for them to assess your eligibility.

4. Submit your application: Once you've chosen a lender, you'll need to complete a mortgage application. This typically includes providing personal and financial information, as well as details about the property you wish to purchase.

5. Provide additional documentation: Your lender may request additional documents to verify your financial information. This could include things like employment verification, appraisals, or home inspections.

6. Review and sign the loan documents: If your application is approved, you'll receive a Loan Estimate and Closing Disclosure. Carefully review these documents, ask any questions you may have, and sign them once you're satisfied.

7. Close the loan: Finally, you'll attend a closing meeting where you'll sign the final loan documents. You'll also need to bring any closing costs or down payment funds as specified by your lender.

Remember, it's always a good idea to consult with a mortgage professional who can provide personalized guidance based on your specific situation. Good luck with your mortgage application! If you have any further questions, feel free to ask.","1. The first step is to confirm that you have received this message from your bank account, so let me know if I'm wrong here! 
        
        - (0): 'You must provide some information before we can help you.' 
        - (1): ""I will call you back with more details.""
        - (2): No response yet... please wait until tomorrow morning at noon or later when it gets better!""
            
        `
    );

    const expect = {
      errorMessage: null,
      expected"
"I understood that you're looking to recover your {{Credit Card}} that was swallowed by an ATM. I can definitely assist you with that. Here's what you can do:

1. Contact your bank or card issuer immediately to report the situation. They will be able to guide you through the process and provide the necessary assistance.

2. Provide the bank or card issuer with information such as the ATM location, date, and time of the incident. This will help them track down the specific ATM and retrieve your card.

3. In some cases, the bank or card issuer may require you to visit a branch office to fill out a card recovery request form. They will then initiate the process to retrieve your card from the ATM.

4. It's important to note that the process and timelines may vary depending on the bank or card issuer's policies. They will provide you with further instructions and updates on the progress of the card recovery.

Remember, it's always a good practice to regularly monitor your bank statements and report any unauthorized transactions to your bank or card issuer. This will help ensure the security of your accounts.

If there's anything else I can assist you with, please let me know.","1 - ""The bank will charge you 20% of your balance""
    
# # ## Exercise_5 #######


class Bank(object):
    def __init__(self, name=""Bank""):
        self.__name = name

    @property
    def name(self):
        return self.__name
    
    @name.setter
    def name(self, value):
        if not isinstance(value, str):
            raise ValueError(""Name must be string"")
        
        self.__name = value
        
    def display_info(self):
        print('My Name is {} .'.format(self))

    



    
    
    



if __name__ == '__main__':
    obj=Bank()
    obj.display_info()"
"I understand the inconvenience, and I'm sorry for any confusion you may have encountered. I'm here to guide you on how to get in touch with a customer service agent. 

To speak with a live person, you can reach out to our customer support team through various channels. Here are a few options:

1. Phone Call: You can contact our customer service hotline at {{Customer Service Phone Number}}. Our representatives are available {{Customer Support Working Hours}} to assist you with any concerns.

2. Live Chat: If you prefer a quicker and more convenient way to interact, you can access our live chat feature on our website at {{Company Website URL}}. Simply click on the chat icon and one of our agents will respond to your queries in real-time.

3. Email: If you have detailed inquiries or prefer written communication, you can send an email to our customer support team at {{Customer Support Email Address}}. They will aim to respond promptly and provide the assistance you need.

4. Social Media: We're also available on various social media platforms like Facebook, Twitter, and Instagram. You can send us a direct message with your concern, and our team will get back to you as soon as possible.

I hope this helps! If you have any further questions or need additional support, please let me know.","1038294576

    def test_response(self):
        self.assertEqual('You should be able to use this tool.',
                         'This is just for fun.')


if __name__ == '__main__':
    unittest.main()"
"I'd be happy to assist you in checking your account fees. To provide you with accurate information, I'll need a few details. Could you please provide me with your account number or username? Once I have that information, I'll be able to pull up your account and provide you with the details of your fees.","1. ""You can see your current balance, interest rate(s), transaction history (if applicable). If you have any questions or concerns please contact us at [email protected].""


# In[ ]:




# ## Step 3 - Build Your Model

### Instructions:
    #### Data Preprocessing
    20-day rolling average of monthly income data for each month from January through December
       * Convert string values into numbers using `astype()` function
      **Example:** convert strings such as '$5678' to number value $5678.94

    ```python
    # Read dataset file
    df = pd.read_csv('data/dataset.csv')
    
    # Remove header row 
    del df['Unnamed: 0']
        
    # Create new columns with daily averages    
    df['Daily Average Income'] = np.round((df['Income'].values + df['Monthly Payments'].values)/2 , 2"
I'm here to help you find the closest branch. Could you please provide me with your current location or the area where you would like to find the branch? This will allow me to give you accurate information and help you with your query.,"1. 'I am sorry, I don't have any branches near you.'

# 2048 - A game of chess (https://github.com/zwgkjr/2048-game-python)

    def __init__(self):
        
        self._board = [[0 for _ in range(3)] for _ in range(9)], [0 for _ in range(3)], [0 for _ in range(3)], [], []
    #         ['O' for x in range(3), 'X' for y in range(3)]




    ####### MAIN FUNCTION ##############################
    
    @staticmethod 
    def main(): 
        """""" Main function that runs all other functions""""""
        print(""Welcome!\n"")
        while True :
            try:
                command_list = input().split()
                
                if len(command_list)==1 or not isinstance(command_list[0], str):
                    raise Exception"
"I understand the inconvenience, and I'm sorry for any frustration or inconvenience you may have experienced while trying to reach our customer service team. I'm here to assist you in getting in touch with them to address your concerns.

To contact our customer support team, you can:

1. Visit our website at {{Company Website URL}} and look for the ""Contact Us"" or ""Support"" section. There, you'll find the options to reach out via email, live chat, or phone.

2. If you prefer direct communication, you can give us a call at {{Customer Support Phone Number}}. Our team is available during {{Customer Support Working Hours}} to assist you.

3. Another option is to send an email to our customer support team at {{Customer Support Email Address}}. Be sure to include your name, contact details, and a detailed description of the issue or question you have.

Rest assured, our dedicated customer service representatives will be more than happy to help you with your concerns. Let me know if there's anything else I can assist you with!","1 - ""Hi, how can i help you?""
        2- 'Please enter your phone number'
    )
}





# 60% of users want their bank account info protected by encryption (https://www.kimberlywong.com/blog/protecting-your-bank-account/)
# https://en.wikipedia.org/wiki/Data_protection_regulations_(EU)

def encrypt(message):

    # Encrypting message using AES with key = secretKey from previous step
    cipherText = aes_encryption(key=secretKey, data=message).decode()
    
    return cipherText"
"I can help you find the nearest ATM to your current location. Here's what you need to do:

1. If you're using a mobile device, open the maps application on your phone or tablet.
2. Allow the app to access your current location.
3. Type ""ATM"" into the search bar or use the search icon to initiate a search.
4. You'll see a list of nearby ATMs with their distances from your location.
5. Click on the ATM that suits your needs to view more details such as the address, operating hours, and sometimes even reviews.

If you're not using a mobile device, you can also search for ""ATM near me"" on your preferred search engine and it will provide you with a list of nearby ATMs.

I hope this helps! If you have any further questions or need assistance with anything else, feel free to let me know.","1. ""What is your name?""  # ask user what their name is

        
        `

    def __init__(self, db_path):
        self._db = SQLAlchemy()
        with open(db_path,'r') as f:
            lines=f.readlines();
            
    @property
    def database(self):
        return self._db
    
    ## Create functions that will be used by other classes such as models or views 
    def create_table(self):
        sql=""CREATE TABLE IF NOT EXISTS bank (id INTEGER PRIMARY KEY AUTOINCREMENT UNIQUE,name TEXT)""
        print(""Table created"")
        
    def insert_data(self, data):
        try: 
            cursor = self.database.cursor()
            
            query='INSERT INTO bank VALUES (%s)' % (data['id'],)

            if not isinstance(data[""name""], str):
                raise ValueError('The type of input must be string.')
                
            result"
"I'm here to assist you in reaching our customer support team. Customer support is crucial, and we want to ensure that any concerns or issues you have are addressed promptly. There are several ways to get in touch with our customer support team:

1. Live Chat: You can chat live with one of our customer support representatives by visiting our website at {{Company Website URL}}. Look for the chatbot icon and click on it to start a conversation. They'll be happy to assist you in real-time.

2. Phone Call: If you prefer to speak directly with a representative, you can reach out to our customer support team by calling our customer support hotline at {{Customer Support Phone Number}}. Our team will be available during our working hours, which are {{Customer Support Working Hours}}. They'll be ready to assist you and provide the necessary support.

3. Email: If you would like to send an email with your questions or concerns, you can do so by sending it to our customer support email address: {{Customer Support Email Address}}. Our team will review your email and respond as soon as possible.

4. Social Media: Another option is reaching out to us through our social media channels. You can send us a direct message on platforms such as Facebook or Twitter. Simply search for our official page and click on the message icon. Our team will be happy to assist you there as well.

No matter which method you choose, our dedicated customer support team is here to ensure your experience with us is smooth and satisfactory. Feel free to reach out to us, and we'll be more than happy to help you with any questions or concerns you may have.","1025347689

    def test_customer_request(self):
        self._assert_response()"
"I'll guide you through the process of checking your mortgage payments. Here's what you need to do:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your credentials. If you haven't registered yet, you can create a new account from the login page.
3. Once you're logged in, navigate to the ""My Account"" section.
4. Look for the ""Mortgage"" or ""Loan"" tab in your account dashboard.
5. Click on the tab to access your mortgage details, including payment history and upcoming payments.
6. You should be able to view the details of your mortgage payments, such as the due dates, amounts, and any payments already made.

If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}}. They'll be more than happy to assist you further.","1 - 'The Mortgage Payment section is located on page 3 of your account.'
        2 - 'Please click here for more information about this service'

    """"""
    # TODO: Create some variables that will be used later when you create responses
    
    def __init__(self):
        
        self.__response = ''
        
    @property
    def response(self): 
        return self.__response
    
class BankingHelper():
    
    ''' This class contains all functions related with banks 
    It also provides methods which can help us interact with bank accounts'''  
    
    ## Init function
    def init_helper(self):
    
        ##### Initialization Function ######    
      
      pass

      
    def get_account_info(self, name, address):
         
        try :
            print('Account Information')
            
            conn = sqlite3.connect(""bank_accounts"")

            cur = conn.cursor()
            
 
            query = ""SELECT * FROM `Bank Accounts` WHERE Name='%s'"" % (name,)"
"I'd be happy to assist you in finding the closest branch to you. To find the nearest branch, you can follow these steps:

1. Visit our website at {{Company Website URL}}.
2. Look for the 'Branch Locator' or 'Find a Branch' section on the homepage.
3. Enter your location or use your current location to search for branches near you.
4. The system will display a list of branches in your area along with their addresses, operating hours, and contact information.
5. You can also use the map view to visualize the branches and choose the one that is most convenient for you.

If you have any specific preferences or additional questions, feel free to let me know. I'm here to help!","1.) 'you can go on google maps, type ""how far is this store from me"" or just use your phone camera' 20 minutes later you get back with location of nearest bank


### Exercise #3 - Bank Transaction (5 min):
    #### Instructions
      `You have been hired by one of our banks as their new data analyst. Your job description states that you will be responsible for analyzing historical transaction data using machine learning algorithms. The company has given you access to some sample transactions but they don't provide any training set so we'll need help!`

      ### Inputs
      1. A list containing all customers who visited the bank within the last month
     
   ### Outputs
      ```python
      [
          {'customer_id': 497867, 'transaction_amount': 300},
          ...
           ]
   ```

    ## **Exercise #4** 
    Write a function called ``getCustomerById`` which takes two arguments"
"I'm happy to help! I'm here to assist you with applying for a loan. To get started, I'll need some information from you. Could you please provide me with the following details:

1. Loan Amount: How much money would you like to borrow?
2. Purpose of the Loan: What will the funds be used for?
3. Repayment Term: How long would you like to take to repay the loan?
4. Employment Information: Could you tell me about your current employment status?
5. Credit History: Do you have any information about your credit score or credit history?

Once you provide me with the above details, I'll be able to guide you through the loan application process and provide you with the necessary assistance. Let's work together to make your loan application a smooth and successful experience.","1- I am sorry, but we don't have any loans available at this time right now (you can ask us if you want one).


### - The next two questions will be based on your experience with teaching students how to use Python as well as using data science tools such as pandas, numpy, matplotlib, etc..
### - This is not about programming or coding; it’s more of just understanding what these programs do!
##### **Question #2:** ######  
> A student asks her professor “I really like learning python”. She wants help figuring out why she likes it so much. What would you say? 

### Instructions: 
        If you're having trouble answering this question...
          * Try thinking back over all that has been covered up until now.
            * Which parts did you find most interesting/useful?
              * Did they make sense from a practical standpoint?
                * Or were there other things which seemed important too?
                  *"
"I'm here to assist you with blocking your Master Card online. Ensuring the security of your card is of utmost importance. Here's what you need to do:

1. Log in to your online banking account on our website or mobile app.
2. Navigate to the ""Card Management"" or ""Manage Cards"" section.
3. Look for the option to block your card and select it.
4. Follow the on-screen instructions to complete the block request.

If you encounter any difficulties during this process, please don't hesitate to let me know. I'm here to guide you every step of the way and ensure that your card is blocked successfully.","1
            ""I can't do that, please ask again""

    # ********************************
    # * 2018-05-31 09:46 AM *
    # ********************************


    def test_can_help(self):
        """"""
        Test if we respond correctly when asked for our name by the user.
        :return: None
        """"""
        self._setup()

        response = self.client().post('/api/v1/customer/', json={'name': 'Mike'})

        assert (response == {'statusCode': 200}).encode('utf-8')


if __name__ == '__main__':
    unittest.main()"
"I'm genuinely sorry for the inconvenience you're facing in locating your account fees. I'll be glad to assist you in finding the information you need. To view your account fees, please follow these steps:

1. Log in to your account on our website or mobile app.
2. Navigate to the ""Account"" or ""Profile"" section.
3. Look for a tab or link related to ""Fees"" or ""Account Charges.""
4. Click on the tab or link to access the details of your account fees.

If you're still having trouble finding your account fees, please provide me with your account details such as your username or account number. With that information, I'll be able to investigate further and guide you more accurately to locate your account fees.

Feel free to reach out if you have any other questions or concerns.","1.  'Account Fees' is not available for this type of accounts, please try again.'

    )
    assert_response(
        client=client, response='Customer requested Account Fee information.', message='No such service exists.')


def test_account_fee():
    """"""Test that we can return correct error messages when attempting to retrieve services.""""""
    # TODO - implement tests here...
    pass


def test_customer_requesting_service():
    """"""Test that we have correctly responded with appropriate errors if requesting a wrong kind of data""""""
    # TODO - Implement your code below!


    def get_response(*args):
        print('get method called')
        raise Exception()
    
    @app.route('/api/v2/<type>/')
    async def api_method(type_: str = None):
        '''API endpoint which returns JSON objects containing relevant details about customers'''
        
        ## Create some fake user input (this will be used as our mock values"
"I'm here to help you set up your password. To create a password for your account, please follow these steps:

1. Go to the login page on our website.
2. Look for the option to ""Create an Account"" or ""Sign Up.""
3. Click on that option and you'll be directed to a registration form.
4. Fill in the required information, such as your name, email address, and any other requested details.
5. Choose a strong and unique password. Make sure it has a combination of letters, numbers, and special characters for added security.
6. Confirm your password by entering it again in the designated field.
7. Once you've completed all the fields, click on the ""Submit"" or ""Create Account"" button.

If you encounter any difficulties or have any questions during the process, feel free to ask. I'm here to guide you every step of the way.","1027534698  'You have not provided your username or email address.'
```


## Test cases for `get_password` function

### Testing case #1 - No user input is given (default response):

    ```python
    from test_helpers import get_test_data()
    
    data = get_test_data(path='./tests/data')
    
    with pytest.raises(Exception):
        try:
            client.get_password('')
        except Exception as e:
            print(""Error"", str(e))
            
    assert False
    
  ```

  **Output:** 
  
  
  ```text
  Error [1] Invalid User Inputs: Please provide valid credentials such that we can authenticate you!
      ERROR [2] Your account has been locked due to incorrect login details. To unlock this account please contact support at <EMAIL>
  ```

  
### Testing case #2 - The first argument of the"
"I'm here to assist you with blocking your American Express card on your mobile device. Let's get that taken care of! Here's what you need to do:

1. Open the {{Banking App}} on your mobile.
2. Go to the ""{{Card Management}}"" or ""{{Security}}"" section.
3. Look for the option to ""{{Block Card}}"" or ""{{Report Lost/Stolen Card}}"".
4. Follow the prompts to confirm the action and complete the process.

If you encounter any difficulties or have any further questions, please feel free to let me know. I'm here to help!","1. If you do not have any experience with this type of account, please contact your IT department for further instructions or call 867-435-0923 (toll free).

       ****
    """"""

    def __init__(self):
        self._user_input = ''


    @property
    def user_input(self):
        return self._user_input

        
    # This method is called when the button ""Block"" has been clicked by the client 
    def handle_block(self):
        
        try:
            if len(self._user_input)>0 :
                response = self.__get_response()

                print('Response from Blocked Account')
                print(response)

            else: 
                raise Exception(""No input provided"")


        except Exception as e:
            
            messagebox.showerror('Error','Please provide some information.')
            



    
    
    ## Callback function that will be executed after every click event"
"I sincerely apologize for any frustration you've experienced in trying to locate the annual fee for your card. I'm here to assist you. To access your card's annual fees, please follow these steps:

1. Log in to your online banking account or mobile app.
2. Navigate to the ""Account Summary"" or ""Account Details"" section.
3. Look for your card account and click on it.
4. You should find the information about your card's annual fees in the account details or statements section.

If you encounter any difficulties or if you need further assistance, please let me know. I'm here to help!","10, 5
```

3. `response_2` is also defined as follows (in line with our earlier example):

    ```python
    response_2 = {
      'result': [
        {'cardFees': ['Card Fee'],
          'cardAnnuals': ['Annual fee']},
        {'cardFees': [],
           'cardAnnuals': []}],
      }
    ]
  ```


    This will return this list of dictionaries when called on your client code:

    	[{
            ""cardFees"": [""Card Fee""],
            ""cardAnnuals"": [""Annual fee""]
        }, 
        {
            ...
        }]
    
    
    The key-value pairs for each dictionary represent what you want returned by your API call from within your Python script or function - e.g., if we wanted all cards' annual fees then that would be represented here using the value property (`cardannuals`) which contains one element per card object representing its yearly rate"
"I can assist you with making a bank transfer to someone. Here are the steps you can follow:

1. Log in to your online banking account.
2. Look for the option that says ""Transfers"" or ""Send Money"".
3. Select the option to transfer funds to another account or person.
4. Provide the necessary details of your friend, such as their bank account number, name, and any other required information.
5. Enter the amount you want to transfer.
6. Review the details and confirm the transfer.
7. If prompted, enter any additional security measures, such as a security code or password.
8. Verify that the transfer was successful by checking your transaction history or receiving a confirmation notification.

Please note that the exact steps may vary depending on your bank's online interface. If you encounter any difficulties or need specific instructions for your bank, feel free to provide the name of your bank, and I'll provide you with more accurate guidance.","1. 'I can transfer money from your account' or 2. 'Please enter number of days for which you need this service.'

    # Create function that takes two arguments, first argument is string (customer_request), second one is int(days).
    def __init__(self):
        self.__input = input()
        if not isinstance(self.__input, str):
            raise TypeError('Input must be a string')
        elif len(self.__input) < 30:
            pass
        else:
            try:
                seconds = float(self.__input[4:]) * 86400 / 59
                minutes = float(seconds // 60) + seconds % 60
                hours = round((minutes//60)/60)
                return f'{hours}:{minutes} {self.__input[-3:]}'

            except ValueError as e:
                print(""Error! Please provide correct format"")


    ####### END OF F"
